영업이익률,,,,,,,,,215790,엔에이치스팩5호
순이익률,,,,,,,,,215790,엔에이치스팩5호
ROE(%),,,,,,,,,215790,엔에이치스팩5호
ROA(%),,,,,,,,,215790,엔에이치스팩5호
부채비율,,,,,10.42,,,,215790,엔에이치스팩5호
자본유보율,,,,,1827.7,,,,215790,엔에이치스팩5호
EPS(원),,,,,18,,,,215790,엔에이치스팩5호
PER(배),,,,,112.84,,,,215790,엔에이치스팩5호
BPS(원),,,,,1928,,,,215790,엔에이치스팩5호
PBR(배),,,,,1.04,,,,215790,엔에이치스팩5호
현금DPS(원),,,,,,,,,215790,엔에이치스팩5호
현금배당수익률,,,,,,,,,215790,엔에이치스팩5호
현금배당성향(%),,,,,,,,,215790,엔에이치스팩5호
발행주식수(보통주),,,,,,,,,215790,엔에이치스팩5호
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1351,1583,1727,1514,1641,,,,049630,재영솔루텍
영업이익,39,13,7,51,40,,,,049630,재영솔루텍
세전계속사업이익,-14,-74,-48,20,9,,,,049630,재영솔루텍
당기순이익,-37,-69,-45,7,11,,,,049630,재영솔루텍
당기순이익(지배),-39,-72,-47,6,11,,,,049630,재영솔루텍
당기순이익(비지배),1,2,2,1,1,,,,049630,재영솔루텍
자산총계,1833,1618,1599,1651,1555,,,,049630,재영솔루텍
부채총계,1396,1253,1283,1332,1207,,,,049630,재영솔루텍
자본총계,437,364,316,319,348,,,,049630,재영솔루텍
자본총계(지배),432,356,306,309,337,,,,049630,재영솔루텍
자본총계(비지배),5,9,10,10,11,,,,049630,재영솔루텍
자본금,159,159,159,159,159,,,,049630,재영솔루텍
영업활동현금흐름,9,54,-20,39,29,,,,049630,재영솔루텍
투자활동현금흐름,48,-2,21,28,-117,,,,049630,재영솔루텍
재무활동현금흐름,-59,-72,-24,-64,115,,,,049630,재영솔루텍
CAPEX,12,32,22,30,25,,,,049630,재영솔루텍
FCF,-3,22,-43,8,4,,,,049630,재영솔루텍
이자발생부채,901,826,778,696,791,,,,049630,재영솔루텍
영업이익률,2.89,0.81,0.42,3.34,2.43,,,,049630,재영솔루텍
순이익률,-2.77,-4.38,-2.62,0.43,0.69,,,,049630,재영솔루텍
ROE(%),-8.71,-18.19,-14.23,1.85,3.32,,,,049630,재영솔루텍
ROA(%),-1.93,-4.02,-2.82,0.4,0.7,,,,049630,재영솔루텍
부채비율,319.36,344.18,406.2,417.63,346.38,,,,049630,재영솔루텍
자본유보율,178.12,135.07,102.65,104.28,119.1,,,,049630,재영솔루텍
EPS(원),-121,-225,-148,18,34,,,,049630,재영솔루텍
PER(배),-6.04,-4.19,-9.17,79.44,81.62,,,,049630,재영솔루텍
BPS(원),1393,1148,960,969,1059,,,,049630,재영솔루텍
PBR(배),0.52,0.82,1.41,1.46,2.59,,,,049630,재영솔루텍
현금DPS(원),0,0,0,0,0,,,,049630,재영솔루텍
현금배당수익률,0,0,0,0,0,,,,049630,재영솔루텍
현금배당성향(%),,,0,0,0,,,,049630,재영솔루텍
발행주식수(보통주),31864445,31864445,31864445,31864445,31864445,,,,049630,재영솔루텍
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,506,468,598,570,684,800,,,036010,아비코전자
영업이익,-22,-3,39,69,84,110,,,036010,아비코전자
세전계속사업이익,21,-53,37,77,100,120,,,036010,아비코전자
당기순이익,12,-46,34,56,88,100,,,036010,아비코전자
당기순이익(지배),12,-46,34,56,88,100,,,036010,아비코전자
당기순이익(비지배),,,,,,,,,036010,아비코전자
자산총계,824,770,867,857,899,960,,,036010,아비코전자
부채총계,264,277,304,244,151,140,,,036010,아비코전자
자본총계,560,493,563,614,748,820,,,036010,아비코전자
자본총계(지배),560,493,563,614,748,820,,,036010,아비코전자
자본총계(비지배),,,,,,,,,036010,아비코전자
자본금,61,61,61,61,68,70,,,036010,아비코전자
영업활동현금흐름,6,27,80,127,80,140,,,036010,아비코전자
투자활동현금흐름,75,-80,-97,31,34,0,,,036010,아비코전자
재무활동현금흐름,25,28,56,-89,-53,-50,,,036010,아비코전자
CAPEX,90,61,81,9,18,20,,,036010,아비코전자
FCF,-84,-35,-1,118,62,,,,036010,아비코전자
이자발생부채,162,206,227,148,53,,,,036010,아비코전자
영업이익률,-4.44,-0.6,6.54,12.13,12.28,13.75,,,036010,아비코전자
순이익률,2.31,-9.9,5.64,9.89,12.89,12.5,,,036010,아비코전자
ROE(%),,-8.8,6.39,9.59,12.94,12.75,,,036010,아비코전자
ROA(%),,-5.81,4.12,6.54,10.03,10.76,,,036010,아비코전자
부채비율,47.1,56.22,53.92,39.7,20.15,17.07,,,036010,아비코전자
자본유보율,851.23,753.92,819.82,897.48,998.41,,,,036010,아비코전자
EPS(원),100,-397,289,483,701,768,,,036010,아비코전자
PER(배),59.79,-11.02,15.07,10.62,8.39,8.17,,,036010,아비코전자
BPS(원),5015,4502,4821,5254,5745,6294,,,036010,아비코전자
PBR(배),1.19,0.97,0.9,0.98,1.02,1,,,036010,아비코전자
현금DPS(원),70,30,70,150,200,200,,,036010,아비코전자
현금배당수익률,1.17,0.69,1.61,2.92,3.4,3.19,,,036010,아비코전자
현금배당성향(%),66.97,-7.09,24.22,31.05,29.57,0.26,,,036010,아비코전자
발행주식수(보통주),11681000,11681000,11681000,11681000,13027347,,,,036010,아비코전자
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E),2017(E),2018(E),code,name
매출액,,,,152,207,,,,204630,화이브라더스
영업이익,,,,17,11,,,,204630,화이브라더스
세전계속사업이익,,,,15,-63,,,,204630,화이브라더스
당기순이익,,,,13,-68,,,,204630,화이브라더스
당기순이익(지배),,,,13,-68,,,,204630,화이브라더스
당기순이익(비지배),,,,,,,,,204630,화이브라더스
자산총계,,,,85,239,,,,204630,화이브라더스
부채총계,,,,47,46,,,,204630,화이브라더스
자본총계,,,,38,193,,,,204630,화이브라더스
자본총계(지배),,,,38,193,,,,204630,화이브라더스
자본총계(비지배),,,,,,,,,204630,화이브라더스
자본금,,,,8,17,,,,204630,화이브라더스
영업활동현금흐름,,,,-23,-30,,,,204630,화이브라더스
투자활동현금흐름,,,,-3,43,,,,204630,화이브라더스
재무활동현금흐름,,,,-5,0,,,,204630,화이브라더스
CAPEX,,,,1,9,,,,204630,화이브라더스
FCF,,,,-24,-38,,,,204630,화이브라더스
이자발생부채,,,,16,14,,,,204630,화이브라더스
영업이익률,,,,10.94,5.52,,,,204630,화이브라더스
순이익률,,,,8.7,-32.86,,,,204630,화이브라더스
ROE(%),,,,,-58.86,,,,204630,화이브라더스
ROA(%),,,,,-41.91,,,,204630,화이브라더스
부채비율,,,,125.12,23.82,,,,204630,화이브라더스
자본유보율,,,,361.33,1015.64,,,,204630,화이브라더스
EPS(원),,,,81,-398,,,,204630,화이브라더스
PER(배),,,,,-6,,,,204630,화이브라더스
BPS(원),,,,233,1119,,,,204630,화이브라더스
PBR(배),,,,,2.13,,,,204630,화이브라더스
현금DPS(원),0,0,0,0,0,,,,204630,화이브라더스
현금배당수익률,,,,0,0,,,,204630,화이브라더스
현금배당성향(%),,,,0,0,,,,204630,화이브라더스
발행주식수(보통주),16229906,16229906,16229906,16229906,17265857,,,,204630,화이브라더스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,21638,24518,25423,25888,26350,28586,29718,30798,001689,대상3우B
영업이익,1089,1297,1558,1403,1099,1273,1432,1610,001689,대상3우B
세전계속사업이익,802,1072,1201,1139,777,1002,1194,1383,001689,대상3우B
당기순이익,543,883,1058,900,472,742,889,1028,001689,대상3우B
당기순이익(지배),555,914,1095,928,583,792,916,1045,001689,대상3우B
당기순이익(비지배),-12,-32,-38,-28,-111,,,,001689,대상3우B
자산총계,15656,16213,17389,18148,21046,22648,23142,24029,001689,대상3우B
부채총계,10185,9952,10259,10303,12861,13860,13626,13645,001689,대상3우B
자본총계,5471,6262,7130,7845,8185,8786,9516,10380,001689,대상3우B
자본총계(지배),5227,5984,6834,7579,7934,8558,9298,10177,001689,대상3우B
자본총계(비지배),243,278,296,266,252,,,,001689,대상3우B
자본금,360,360,360,360,360,360,360,360,001689,대상3우B
영업활동현금흐름,301,1465,1800,1627,924,1629,1691,1797,001689,대상3우B
투자활동현금흐름,-683,-942,-1655,-1613,-1875,-1248,-1147,-1131,001689,대상3우B
재무활동현금흐름,1301,-168,72,-463,1946,653,-481,-255,001689,대상3우B
CAPEX,721,863,590,1075,1849,1025,1107,1002,001689,대상3우B
FCF,-420,602,1211,553,-925,-432,692,740,001689,대상3우B
이자발생부채,6703,6486,6586,6229,8242,,,,001689,대상3우B
영업이익률,5.03,5.29,6.13,5.42,4.17,4.45,4.82,5.23,001689,대상3우B
순이익률,2.51,3.6,4.16,3.48,1.79,2.6,2.99,3.34,001689,대상3우B
ROE(%),11.16,16.31,17.09,12.87,7.51,9.6,10.26,10.73,001689,대상3우B
ROA(%),3.79,5.54,6.3,5.07,2.41,3.4,3.88,4.36,001689,대상3우B
부채비율,186.17,158.92,143.89,131.34,157.12,157.74,143.19,131.45,001689,대상3우B
자본유보율,1438.52,1662.3,1921.16,2122.78,2223.39,,,,001689,대상3우B
EPS(원),1541,2539,3041,2576,1618,2198,2543,2901,001689,대상3우B
PER(배),10.45,10.32,12.63,12.97,20.15,13.04,11.27,9.88,001689,대상3우B
BPS(원),14513,16613,18974,21042,22027,23760,25816,28254,001689,대상3우B
PBR(배),1.11,1.58,2.02,1.59,1.48,1.21,1.11,1.01,001689,대상3우B
현금DPS(원),100,150,150,300,400,408,417,425,001689,대상3우B
현금배당수익률,0.62,0.57,0.39,0.9,1.23,1.43,1.45,1.48,001689,대상3우B
현금배당성향(%),6.52,5.92,4.95,11.66,24.74,0.19,0.16,0.15,001689,대상3우B
발행주식수(보통주),34411575,34411575,34411575,34411575,34411575,,,,001689,대상3우B
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,60,61,52,55,55,,,,002420,세기상사
영업이익,-4,-3,-11,-10,-9,,,,002420,세기상사
세전계속사업이익,-8,-7,-15,-14,-13,,,,002420,세기상사
당기순이익,-7,-6,-21,-14,-13,,,,002420,세기상사
당기순이익(지배),-7,-6,-21,-14,-13,,,,002420,세기상사
당기순이익(비지배),,,,,,,,,002420,세기상사
자산총계,523,516,478,465,451,,,,002420,세기상사
부채총계,213,212,195,197,196,,,,002420,세기상사
자본총계,310,304,283,268,255,,,,002420,세기상사
자본총계(지배),310,304,283,268,255,,,,002420,세기상사
자본총계(비지배),,,,,,,,,002420,세기상사
자본금,20,20,20,20,20,,,,002420,세기상사
영업활동현금흐름,-5,-1,-9,-6,-6,,,,002420,세기상사
투자활동현금흐름,7,3,27,8,7,,,,002420,세기상사
재무활동현금흐름,,,-24,0,,,,,002420,세기상사
CAPEX,0,2,3,2,2,,,,002420,세기상사
FCF,-5,-3,-12,-8,-8,,,,002420,세기상사
이자발생부채,122,122,122,122,122,,,,002420,세기상사
영업이익률,-6.42,-5.19,-20.89,-17.88,-16.27,,,,002420,세기상사
순이익률,-11.22,-9.56,-40.48,-25.79,-23.11,,,,002420,세기상사
ROE(%),,-1.9,-7.16,-5.17,-4.83,,,,002420,세기상사
ROA(%),,-1.12,-4.23,-3.03,-2.76,,,,002420,세기상사
부채비율,68.76,69.73,68.93,73.25,76.73,,,,002420,세기상사
자본유보율,560.56,531.18,430.27,357.45,293.58,,,,002420,세기상사
EPS(원),-1660,-1432,-5156,-3502,-3105,,,,002420,세기상사
PER(배),-17.69,-21.44,-5.38,-8.34,-15.41,,,,002420,세기상사
BPS(원),76004,74535,69490,65848,62655,,,,002420,세기상사
PBR(배),0.39,0.41,0.4,0.44,0.76,,,,002420,세기상사
현금DPS(원),0,0,0,0,0,,,,002420,세기상사
현금배당수익률,0,0,0,0,0,,,,002420,세기상사
현금배당성향(%),,,0,0,0,,,,002420,세기상사
발행주식수(보통주),407592,407592,407592,407592,407592,,,,002420,세기상사
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,810,833,952,1035,1108,,,,015710,코콤
영업이익,34,57,50,96,98,,,,015710,코콤
세전계속사업이익,35,37,34,89,93,,,,015710,코콤
당기순이익,33,34,30,58,72,,,,015710,코콤
당기순이익(지배),34,34,32,58,73,,,,015710,코콤
당기순이익(비지배),0,-1,-2,0,0,,,,015710,코콤
자산총계,906,1019,1115,1059,1101,,,,015710,코콤
부채총계,251,336,409,303,212,,,,015710,코콤
자본총계,655,683,706,756,889,,,,015710,코콤
자본총계(지배),652,681,706,755,889,,,,015710,코콤
자본총계(비지배),3,2,1,0,,,,,015710,코콤
자본금,88,88,88,88,88,,,,015710,코콤
영업활동현금흐름,-13,91,63,56,61,,,,015710,코콤
투자활동현금흐름,70,-187,-33,-11,-18,,,,015710,코콤
재무활동현금흐름,-48,90,-27,-19,-33,,,,015710,코콤
CAPEX,23,224,137,5,6,,,,015710,코콤
FCF,-36,-133,-74,51,55,,,,015710,코콤
이자발생부채,50,140,121,110,,,,,015710,코콤
영업이익률,4.17,6.89,5.29,9.31,8.88,,,,015710,코콤
순이익률,4.14,4.05,3.19,5.59,6.54,,,,015710,코콤
ROE(%),,5.17,4.62,7.94,8.86,,,,015710,코콤
ROA(%),,3.51,2.84,5.32,6.71,,,,015710,코콤
부채비율,38.26,49.26,57.84,40.1,23.87,,,,015710,코콤
자본유보율,698.46,733.7,762.33,818.77,948.7,,,,015710,코콤
EPS(원),191,197,183,331,416,,,,015710,코콤
PER(배),11.29,13.3,14.95,28.7,31.77,,,,015710,코콤
BPS(원),4077,4255,4412,4721,5354,,,,015710,코콤
PBR(배),0.53,0.61,0.62,2.01,2.47,,,,015710,코콤
현금DPS(원),25,50,50,100,125,,,,015710,코콤
현금배당수익률,1.16,1.91,1.83,1.05,0.95,,,,015710,코콤
현금배당성향(%),11.92,23.21,24.98,27.57,28.48,,,,015710,코콤
발행주식수(보통주),17530500,17530500,17530500,17530500,17530500,,,,015710,코콤
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,78,62,51,30,35,,,,001000,신라섬유
영업이익,4,7,7,6,-26,,,,001000,신라섬유
세전계속사업이익,-1,9,8,5,-27,,,,001000,신라섬유
당기순이익,-1,9,8,5,-27,,,,001000,신라섬유
당기순이익(지배),-1,9,8,5,-27,,,,001000,신라섬유
당기순이익(비지배),,,,,,,,,001000,신라섬유
자산총계,359,374,383,371,337,,,,001000,신라섬유
부채총계,218,224,226,213,203,,,,001000,신라섬유
자본총계,141,150,157,158,134,,,,001000,신라섬유
자본총계(지배),141,150,157,158,134,,,,001000,신라섬유
자본총계(비지배),,,,,,,,,001000,신라섬유
자본금,24,24,24,24,24,,,,001000,신라섬유
영업활동현금흐름,-4,5,-4,-22,-8,,,,001000,신라섬유
투자활동현금흐름,-9,-4,5,16,-1,,,,001000,신라섬유
재무활동현금흐름,12,0,0,6,11,,,,001000,신라섬유
CAPEX,3,6,0,1,1,,,,001000,신라섬유
FCF,-7,-1,-4,-23,-9,,,,001000,신라섬유
이자발생부채,161,162,163,171,185,,,,001000,신라섬유
영업이익률,5.67,10.73,14.34,18.38,-74.22,,,,001000,신라섬유
순이익률,-1.42,13.96,15.39,15.77,-79.14,,,,001000,신라섬유
ROE(%),-0.83,5.9,5.09,3.03,-18.72,,,,001000,신라섬유
ROA(%),-0.32,2.35,2.07,1.27,-7.72,,,,001000,신라섬유
부채비율,154.81,148.7,143.93,134.44,151.97,,,,001000,신라섬유
자본유보율,474.8,510.57,542.97,566.42,453.85,,,,001000,신라섬유
EPS(원),-5,35,32,20,-113,,,,001000,신라섬유
PER(배),-195.32,28.18,28.72,35.78,-22.83,,,,001000,신라섬유
BPS(원),581,620,647,652,551,,,,001000,신라섬유
PBR(배),1.64,1.61,1.43,1.08,4.67,,,,001000,신라섬유
현금DPS(원),0,0,0,0,0,,,,001000,신라섬유
현금배당수익률,0,0,0,0,0,,,,001000,신라섬유
현금배당성향(%),,,0,0,0,,,,001000,신라섬유
발행주식수(보통주),24277540,24277540,24277540,24277540,24277540,,,,001000,신라섬유
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,51,56,82,71,115,189,237,293,086890,이수앱지스
영업이익,-61,-64,-63,-63,-51,1,29,59,086890,이수앱지스
세전계속사업이익,-59,-64,-82,-112,-98,-30,6,49,086890,이수앱지스
당기순이익,-59,-64,-82,-112,-98,-30,6,44,086890,이수앱지스
당기순이익(지배),-59,-64,-82,-112,-98,-30,6,44,086890,이수앱지스
당기순이익(비지배),,,,,,,,,086890,이수앱지스
자산총계,205,335,549,490,700,681,716,762,086890,이수앱지스
부채총계,45,191,326,316,234,245,275,276,086890,이수앱지스
자본총계,160,144,223,174,466,436,442,486,086890,이수앱지스
자본총계(지배),160,144,223,174,466,436,442,486,086890,이수앱지스
자본총계(비지배),,,,,,,,,086890,이수앱지스
자본금,56,56,64,69,98,98,98,98,086890,이수앱지스
영업활동현금흐름,-38,-56,-104,-115,-39,-57,14,13,086890,이수앱지스
투자활동현금흐름,52,-95,-76,-21,-262,-51,-60,-62,086890,이수앱지스
재무활동현금흐름,-19,197,279,25,249,0,10,0,086890,이수앱지스
CAPEX,10,57,56,14,8,36,46,47,086890,이수앱지스
FCF,-48,-113,-160,-129,-47,,,,086890,이수앱지스
이자발생부채,1,157,291,290,183,,,,086890,이수앱지스
영업이익률,-119.26,-114.67,-77.4,-89.33,-44.39,0.53,12.24,20.14,086890,이수앱지스
순이익률,-114.19,-114.18,-100.32,-157.78,-85.2,-15.87,2.53,15.02,086890,이수앱지스
ROE(%),-31.49,-42.06,-44.7,-56.43,-30.54,-6.65,1.37,9.48,086890,이수앱지스
ROA(%),-23.44,-23.63,-18.54,-21.56,-16.43,-4.35,0.86,5.95,086890,이수앱지스
부채비율,28.43,132.97,146.29,181.44,50.26,56.19,62.22,56.79,086890,이수앱지스
자본유보율,145.41,117.15,214.65,119.81,375.86,,,,086890,이수앱지스
EPS(원),-488,-532,-640,-781,-575,-153,31,225,086890,이수앱지스
PER(배),-15.11,-11.88,-10.02,-7.78,-13.93,-72.8,364.05,49.64,086890,이수앱지스
BPS(원),1330,1198,1633,1176,2379,2226,2256,2481,086890,이수앱지스
PBR(배),5.55,5.28,3.93,5.17,3.37,5.01,4.94,4.49,086890,이수앱지스
현금DPS(원),0,0,0,0,0,,,,086890,이수앱지스
현금배당수익률,0,0,0,0,0,,,,086890,이수앱지스
현금배당성향(%),0,0,0,0,0,,,,086890,이수앱지스
발행주식수(보통주),11989252,11989252,13642489,14800077,19581052,,,,086890,이수앱지스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,409,340,511,582,721,,,,049470,SGA
영업이익,24,-11,23,46,54,,,,049470,SGA
세전계속사업이익,19,-32,13,53,30,,,,049470,SGA
당기순이익,8,-18,13,49,4,,,,049470,SGA
당기순이익(지배),5,-18,5,30,-14,,,,049470,SGA
당기순이익(비지배),3,0,8,19,18,,,,049470,SGA
자산총계,396,541,709,827,1254,,,,049470,SGA
부채총계,128,245,353,406,498,,,,049470,SGA
자본총계,267,295,356,421,755,,,,049470,SGA
자본총계(지배),257,283,326,371,509,,,,049470,SGA
자본총계(비지배),10,13,30,50,247,,,,049470,SGA
자본금,202,245,273,277,391,,,,049470,SGA
영업활동현금흐름,-26,-27,-36,30,-67,,,,049470,SGA
투자활동현금흐름,81,-89,-102,4,-36,,,,049470,SGA
재무활동현금흐름,-44,126,119,16,220,,,,049470,SGA
CAPEX,1,3,2,2,18,,,,049470,SGA
FCF,-27,-30,-39,28,-85,,,,049470,SGA
이자발생부채,43,115,197,216,307,,,,049470,SGA
영업이익률,5.77,-3.1,4.52,7.87,7.52,,,,049470,SGA
순이익률,1.97,-5.33,2.59,8.38,0.62,,,,049470,SGA
ROE(%),2.18,-6.67,1.71,8.5,-3.14,,,,049470,SGA
ROA(%),2.06,-3.87,2.11,6.35,0.43,,,,049470,SGA
부채비율,48.08,83.08,99.14,96.29,66,,,,049470,SGA
자본유보율,42.27,37.9,39.12,53.48,43.85,,,,049470,SGA
EPS(원),14,-40,10,54,-21,,,,049470,SGA
PER(배),35.6,-21.2,60.54,14.28,-59.88,,,,049470,SGA
BPS(원),645,586,605,678,656,,,,049470,SGA
PBR(배),0.76,1.45,0.99,1.14,1.93,,,,049470,SGA
현금DPS(원),0,0,0,0,0,,,,049470,SGA
현금배당수익률,0,0,0,0,0,,,,049470,SGA
현금배당성향(%),,,0,0,0,,,,049470,SGA
발행주식수(보통주),40498740,48910200,54599841,55450535,78170371,,,,049470,SGA
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,5921,47771,44277,36199,38208,42674,45925,49340,002025,코오롱우
영업이익,917,433,769,955,414,1748,2124,2450,002025,코오롱우
세전계속사업이익,988,-208,-302,262,-242,1325,1710,2080,002025,코오롱우
당기순이익,888,-120,-849,206,-758,975,1245,1510,002025,코오롱우
당기순이익(지배),850,34,-445,102,-640,824,1042,1263,002025,코오롱우
당기순이익(비지배),38,-154,-404,104,-117,,,,002025,코오롱우
자산총계,38087,39172,37756,35784,32918,36765,38395,39805,002025,코오롱우
부채총계,28140,30063,29481,26576,24863,27765,28125,27985,002025,코오롱우
자본총계,9947,9110,8274,9208,8055,9000,10270,11820,002025,코오롱우
자본총계(지배),7606,7157,6512,6390,5709,6530,7615,8955,002025,코오롱우
자본총계(비지배),2341,1952,1762,2818,2346,,,,002025,코오롱우
자본금,657,657,657,657,657,660,660,660,002025,코오롱우
영업활동현금흐름,187,1687,134,-257,2259,3220,2875,3265,002025,코오롱우
투자활동현금흐름,-626,-1927,-551,207,68,-820,-885,-605,002025,코오롱우
재무활동현금흐름,1890,125,385,-823,-1828,315,-360,-670,002025,코오롱우
CAPEX,222,293,494,742,950,1040,1190,1300,002025,코오롱우
FCF,-35,1394,-360,-999,1309,2510,2530,3280,002025,코오롱우
이자발생부채,14931,15491,15649,14113,12377,,,,002025,코오롱우
영업이익률,15.48,0.91,1.74,2.64,1.08,4.09,4.62,4.97,002025,코오롱우
순이익률,14.99,-0.25,-1.92,0.57,-1.98,2.28,2.71,3.06,002025,코오롱우
ROE(%),12.24,0.46,-6.51,1.58,-10.58,13.47,14.73,15.24,002025,코오롱우
ROA(%),1.72,-0.31,-2.21,0.56,-2.21,2.8,3.31,3.86,002025,코오롱우
부채비율,282.9,330.01,356.29,288.63,308.67,308.5,273.86,236.76,002025,코오롱우
자본유보율,1503.43,1493.9,1422.18,1406.87,846.2,,,,002025,코오롱우
EPS(원),6590,258,-3385,775,-4873,6276,7928,9614,002025,코오롱우
PER(배),2.9,68.28,-5.01,27.49,-15.8,9.86,7.81,6.44,002025,코오롱우
BPS(원),57896,54480,49570,48642,43459,49705,57964,68163,002025,코오롱우
PBR(배),0.33,0.32,0.34,0.44,1.77,1.25,1.07,0.91,002025,코오롱우
현금DPS(원),500,500,500,500,500,500,500,500,002025,코오롱우
현금배당수익률,2.62,2.83,2.95,2.35,0.65,0.81,0.81,0.81,002025,코오롱우
현금배당성향(%),7.8,195.02,-14.89,65.05,-10.34,0.08,0.06,0.05,002025,코오롱우
발행주식수(보통주),12060408,12061185,12061185,12061185,12061185,,,,002025,코오롱우
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,215742,262571,254886,279272,340237,,,,086790,하나금융지주
영업이익,17324,20174,11650,12434,10105,15415,16255,17144,086790,하나금융지주
세전계속사업이익,17158,19922,12703,12526,11964,16300,17206,18164,086790,하나금융지주
당기순이익,13031,17292,9930,9798,9543,12360,13028,13662,086790,하나금융지주
당기순이익(지배),12224,16215,9339,9377,9097,12078,12708,13443,086790,하나금융지주
당기순이익(비지배),807,1076,591,421,445,,,,086790,하나금융지주
자산총계,1782289,2849151,2951886,3155482,3269127,3415902,3565375,3729360,086790,하나금융지주
부채총계,1634079,2645727,2742990,2936546,3039410,3169948,3308192,3468943,086790,하나금융지주
자본총계,148209,203424,208896,218936,229717,238597,249678,260491,086790,하나금융지주
자본총계(지배),140812,157243,199320,211273,221497,230299,241621,254860,086790,하나금융지주
자본총계(비지배),7398,46181,9576,7663,8221,,,,086790,하나금융지주
자본금,12152,12152,14495,14495,14800,15255,15255,15419,086790,하나금융지주
영업활동현금흐름,-63824,56315,53483,50566,25255,,,,086790,하나금융지주
투자활동현금흐름,-5523,-19301,-5059,-49853,-31681,,,,086790,하나금융지주
재무활동현금흐름,100122,-30941,-23955,-4894,-8272,,,,086790,하나금융지주
CAPEX,938,2311,1906,3176,5035,,,,086790,하나금융지주
FCF,,,,,,,,,086790,하나금융지주
이자발생부채,391354,479198,449066,461411,453719,,,,086790,하나금융지주
영업이익률,8.03,7.68,4.57,4.45,2.97,,,,086790,하나금융지주
순이익률,6.04,6.59,3.9,3.51,2.8,,,,086790,하나금융지주
ROE(%),9.88,10.88,5.24,4.57,4.2,5.35,5.39,5.42,086790,하나금융지주
ROA(%),0.77,0.75,0.34,0.32,0.3,0.37,0.37,0.38,086790,하나금융지주
부채비율,1102.55,1300.6,1313.09,1341.28,1323.11,1328.58,1324.98,1331.69,086790,하나금융지주
자본유보율,1126.17,1580.53,1352.92,1410.46,1452.13,,,,086790,하나금융지주
EPS(원),5121,6672,3363,3235,3093,4080,4293,4541,086790,하나금융지주
PER(배),6.94,5.2,13.05,9.89,7.63,6.02,5.72,5.41,086790,하나금융지주
BPS(원),58421,65238,68756,72879,74829,77803,81628,86100,086790,하나금융지주
PBR(배),0.61,0.53,0.64,0.44,0.32,0.32,0.3,0.29,086790,하나금융지주
현금DPS(원),600,450,400,600,650,714,786,866,086790,하나금융지주
현금배당수익률,1.69,1.3,0.91,1.88,2.75,2.91,3.2,3.53,086790,하나금융지주
현금배당성향(%),11.83,6.69,12.4,18.55,21.15,0.17,0.18,0.19,086790,하나금융지주
발행주식수(보통주),243049763,243049763,289894062,289894062,296003062,,,,086790,하나금융지주
주요재무정보,2011(IFRS별도),2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,806,834,824,816,828,,,,049720,고려신용정보
영업이익,27,18,3,18,51,,,,049720,고려신용정보
세전계속사업이익,32,21,5,19,55,,,,049720,고려신용정보
당기순이익,23,9,3,12,40,,,,049720,고려신용정보
당기순이익(지배),23,9,4,12,40,,,,049720,고려신용정보
당기순이익(비지배),,0,-1,0,0,,,,049720,고려신용정보
자산총계,190,201,206,230,252,,,,049720,고려신용정보
부채총계,67,77,84,105,99,,,,049720,고려신용정보
자본총계,123,124,122,125,153,,,,049720,고려신용정보
자본총계(지배),123,122,121,124,152,,,,049720,고려신용정보
자본총계(비지배),,2,1,1,1,,,,049720,고려신용정보
자본금,72,72,72,72,72,,,,049720,고려신용정보
영업활동현금흐름,25,4,38,33,45,,,,049720,고려신용정보
투자활동현금흐름,-29,10,-30,-2,-17,,,,049720,고려신용정보
재무활동현금흐름,-4,-5,-8,-8,-15,,,,049720,고려신용정보
CAPEX,7,6,8,7,7,,,,049720,고려신용정보
FCF,18,-1,31,26,38,,,,049720,고려신용정보
이자발생부채,,,1,6,2,,,,049720,고려신용정보
영업이익률,3.32,2.21,0.33,2.19,6.21,,,,049720,고려신용정보
순이익률,2.82,1.04,0.36,1.46,4.84,,,,049720,고려신용정보
ROE(%),19.97,,2.92,9.92,29.04,,,,049720,고려신용정보
